T,K,Type,Market,Spread,Model,Err,IV_Mkt,IV_Model
0.041,6555.0,PUT,21.65,0.3,15.26,-6.39,0.23,0.2071
0.041,6655.0,PUT,30.45,0.5,22.83,-7.62,0.206,0.1849
0.041,6755.0,PUT,49.55,0.5,38.46,-11.09,0.1926,0.1689
0.041,6855.0,PUT,72.9,0.8,66.78,-6.12,0.1675,0.1563
0.041,6950.0,CALL,59.2,0.8,58.41,-0.79,0.1474,0.146
0.041,7050.0,CALL,22.35,0.3,23.77,1.42,0.1331,0.1366
0.041,7150.0,CALL,4.8,0.2,7.81,3.01,0.1172,0.1318
0.041,7250.0,CALL,0.97,0.05,3.88,2.9,0.1151,0.145
0.049,6575.0,PUT,26.0,0.4,20.76,-5.24,0.2145,0.1992
0.049,6780.0,PUT,58.4,0.4,51.63,-6.77,0.1784,0.166
0.049,6950.0,CALL,66.6,0.8,67.06,0.46,0.146,0.1467
0.049,7120.0,CALL,9.75,0.3,14.9,5.15,0.1161,0.132
0.052,6025.0,PUT,5.3,0.2,19.29,13.99,0.3154,0.408
0.052,6525.0,PUT,23.1,0.4,19.04,-4.06,0.2222,0.2095
0.052,6775.0,PUT,59.95,0.5,52.74,-7.21,0.1797,0.1667
0.052,6930.0,CALL,79.5,0.6,79.61,0.11,0.1489,0.1491
0.052,7100.0,CALL,14.05,0.3,19.92,5.87,0.1182,0.1333
0.055,5975.0,PUT,5.3,0.2,20.99,15.69,0.3234,0.4252
0.055,6475.0,PUT,21.0,0.4,17.99,-3.01,0.2306,0.2206
0.055,6790.0,PUT,67.15,0.5,58.99,-8.16,0.1789,0.165
0.055,6960.0,CALL,67.3,0.6,67.86,0.56,0.1453,0.1462
0.055,7125.0,CALL,11.7,0.4,16.8,5.1,0.1176,0.1318
0.057,6150.0,PUT,9.0,0.4,17.3,8.3,0.2891,0.3332
0.057,6650.0,PUT,42.45,0.5,33.47,-8.98,0.2035,0.1844
0.057,6860.0,PUT,90.25,0.7,83.76,-6.49,0.1671,0.1571
0.057,7025.0,CALL,42.35,0.9,44.15,1.8,0.1369,0.14
0.06,5175.0,PUT,1.7,0.1,61.12,59.42,0.4811,0.9076
0.06,5330.0,PUT,2.2,0.1,50.77,48.57,0.4508,0.7948
0.06,5500.0,PUT,2.83,0.15,40.94,38.12,0.4153,0.6802
0.06,5670.0,PUT,3.8,0.2,32.66,28.86,0.3819,0.5748
0.06,5830.0,PUT,4.95,0.1,26.25,21.3,0.3488,0.4839
0.06,6000.0,PUT,7.0,0.2,20.94,13.94,0.316,0.3963
0.06,6145.0,PUT,9.75,0.3,17.83,8.08,0.2888,0.3299
0.06,6240.0,PUT,12.5,0.2,16.76,4.26,0.272,0.2913
0.06,6340.0,PUT,16.75,0.3,16.87,0.12,0.2555,0.2559
0.06,6440.0,PUT,22.5,0.4,18.9,-3.6,0.2383,0.2267
0.06,6540.0,PUT,31.75,0.3,24.01,-7.74,0.2237,0.2037
0.06,6640.0,PUT,43.45,0.5,33.94,-9.51,0.2057,0.1858
0.06,6740.0,PUT,61.85,0.5,51.2,-10.65,0.19,0.1716
0.06,6835.0,PUT,85.5,0.6,77.25,-8.25,0.1727,0.1601
0.06,6935.0,CALL,90.6,0.4,85.28,-5.32,0.1572,0.1492
0.06,7035.0,CALL,42.7,0.4,42.9,0.2,0.139,0.1393
0.06,7135.0,CALL,14.25,0.3,17.75,3.5,0.1223,0.1313
0.06,7235.0,CALL,3.85,0.3,7.17,3.32,0.1146,0.1309
0.06,7360.0,CALL,0.9,0.2,5.33,4.43,0.117,0.1565
0.068,6125.0,PUT,10.45,0.3,19.52,9.07,0.2815,0.3236
0.068,6625.0,PUT,44.1,0.6,37.15,-6.95,0.2014,0.1877
0.068,6925.0,CALL,99.85,0.5,98.35,-1.5,0.153,0.1509
0.068,7175.0,CALL,10.0,0.4,15.08,5.08,0.115,0.1294
0.071,6250.0,PUT,15.2,0.4,19.22,4.02,0.2592,0.2745
0.071,6775.0,PUT,75.05,0.5,68.01,-7.04,0.1783,0.1677
0.071,6980.0,CALL,72.45,0.7,73.67,1.22,0.1438,0.1455
0.071,7375.0,CALL,1.2,0.2,6.01,4.81,0.1146,0.1505
0.074,6525.0,PUT,35.4,0.4,29.71,-5.69,0.2167,0.2039
0.074,6900.0,CALL,119.95,0.7,117.37,-2.58,0.1574,0.154
0.074,7175.0,CALL,12.8,0.4,17.21,4.41,0.1182,0.1293
0.077,6425.0,PUT,27.9,0.4,24.67,-3.23,0.2318,0.2233
0.077,6875.0,PUT,107.75,0.7,104.47,-3.28,0.1612,0.1568
0.077,7175.0,CALL,14.3,0.4,18.31,4.01,0.1197,0.1293
0.079,5825.0,PUT,7.8,0.2,28.31,20.51,0.3303,0.4321
0.079,6325.0,PUT,22.9,0.4,22.32,-0.58,0.2479,0.2462
0.079,6520.0,PUT,39.25,0.5,31.98,-7.27,0.2193,0.204
0.079,6680.0,PUT,62.15,0.5,52.72,-9.43,0.1949,0.1798
0.079,6820.0,PUT,94.3,0.6,87.16,-7.14,0.1726,0.163
0.079,6915.0,CALL,118.55,0.5,113.87,-4.68,0.1588,0.1528
0.079,7015.0,CALL,65.25,0.7,65.27,0.02,0.1426,0.1427
0.079,7160.0,CALL,18.85,0.3,22.08,3.23,0.1234,0.1302
0.079,7450.0,CALL,1.05,0.2,7.1,6.05,0.1201,0.1646
0.088,6525.0,PUT,41.65,0.5,36.48,-5.17,0.2122,0.2021
0.088,7025.0,CALL,62.9,0.6,67.28,4.38,0.1364,0.1423
0.09,6475.0,PUT,38.45,0.7,33.47,-4.98,0.2205,0.2102
0.099,5700.0,PUT,8.8,0.2,34.66,25.86,0.3357,0.4484
0.099,6275.0,PUT,27.0,0.4,26.95,-0.05,0.2492,0.2491
0.099,6560.0,PUT,54.1,0.4,45.84,-8.26,0.2096,0.1958
0.099,6725.0,PUT,82.95,0.9,74.39,-8.56,0.1859,0.1746
0.099,6890.0,PUT,128.7,0.6,125.38,-3.32,0.1605,0.1566
0.099,7050.0,CALL,62.1,0.6,64.92,2.82,0.137,0.1406
0.099,7250.0,CALL,12.4,0.4,15.35,2.95,0.1193,0.1265
0.107,6300.0,PUT,29.9,0.4,30.23,0.33,0.2395,0.2403
0.107,6875.0,PUT,126.9,0.6,124.8,-2.1,0.161,0.1586
0.118,5200.0,PUT,5.8,0.2,62.34,56.54,0.4013,0.647
0.118,5625.0,PUT,10.25,0.3,39.37,29.12,0.3345,0.447
0.118,5790.0,PUT,13.35,0.3,33.66,20.31,0.3103,0.3823
0.118,5960.0,PUT,17.8,0.4,30.09,12.29,0.2857,0.3241
0.118,6125.0,PUT,24.7,0.4,29.58,4.88,0.2639,0.2768
0.118,6280.0,PUT,34.4,0.6,32.96,-1.44,0.2442,0.2411
0.118,6380.0,PUT,41.5,0.6,38.0,-3.5,0.2289,0.2222
0.118,6480.0,PUT,52.45,0.7,46.16,-6.29,0.2165,0.2062
0.118,6575.0,PUT,65.9,0.4,57.67,-8.23,0.2048,0.1931
0.118,6675.0,PUT,83.7,0.6,74.95,-8.75,0.1918,0.1808
0.118,6775.0,PUT,106.2,0.4,98.98,-7.22,0.1778,0.1696
