T,K,Type,Market,Spread,Model,Err,IV_Mkt,IV_Model
0.041,6640.0,PUT,29.65,0.5,29.98,0.33,0.2091,0.21
0.041,6810.0,PUT,63.0,0.4,63.21,0.21,0.1787,0.1791
0.041,6930.0,CALL,64.2,0.4,67.27,3.07,0.1475,0.1531
0.041,7040.0,CALL,19.35,0.3,19.17,-0.18,0.1247,0.1242
0.043,6485.0,PUT,17.6,0.2,16.56,-1.04,0.2401,0.2361
0.043,6590.0,PUT,25.15,0.5,25.64,0.49,0.2169,0.2183
0.043,6690.0,PUT,40.6,0.4,39.21,-1.39,0.2043,0.2011
0.043,6790.0,PUT,61.2,0.4,59.94,-1.26,0.1852,0.1828
0.043,6890.0,CALL,92.7,0.6,93.05,0.35,0.1616,0.1622
0.043,6990.0,CALL,40.95,0.3,39.29,-1.66,0.141,0.1377
0.043,7090.0,CALL,11.65,0.3,8.66,-2.99,0.1224,0.112
0.043,7190.0,CALL,1.88,0.15,1.44,-0.44,0.1092,0.1045
0.052,5700.0,PUT,2.67,0.15,2.86,0.19,0.3808,0.3844
0.052,6300.0,PUT,10.25,0.3,11.64,1.39,0.2571,0.2644
0.052,6700.0,PUT,45.55,0.3,48.94,3.39,0.1916,0.1983
0.052,6870.0,PUT,89.2,0.4,91.85,2.65,0.1615,0.1658
0.052,7040.0,CALL,26.2,0.4,25.91,-0.29,0.1245,0.1239
0.054,5700.0,PUT,3.0,0.2,3.1,0.1,0.3772,0.379
0.054,6350.0,PUT,13.45,0.3,15.04,1.59,0.2484,0.2552
0.054,6720.0,PUT,51.65,0.5,55.1,3.45,0.1881,0.1945
0.054,6890.0,CALL,99.3,0.6,105.25,5.95,0.1519,0.1612
0.054,7060.0,CALL,22.45,0.5,20.9,-1.55,0.1222,0.1187
0.057,5700.0,PUT,3.25,0.3,3.35,0.1,0.3724,0.3741
0.057,6350.0,PUT,14.85,0.3,16.34,1.49,0.2484,0.2544
0.057,6750.0,PUT,61.0,0.4,63.72,2.72,0.1841,0.1888
0.057,6925.0,CALL,82.1,0.6,86.1,4.0,0.1468,0.1529
0.057,7100.0,CALL,14.9,0.4,12.13,-2.77,0.1173,0.1098
0.06,6100.0,PUT,8.35,0.3,8.51,0.16,0.2932,0.2943
0.06,6600.0,PUT,38.6,0.4,39.94,1.34,0.2112,0.2141
0.06,6840.0,PUT,89.1,0.6,89.25,0.15,0.1709,0.1712
0.06,7010.0,CALL,46.0,0.4,43.15,-2.85,0.1363,0.1315
0.063,5160.0,PUT,1.8,0.1,1.9,0.1,0.4778,0.4808
0.063,5325.0,PUT,2.28,0.15,2.3,0.03,0.4438,0.4446
0.063,5490.0,PUT,2.9,0.1,2.85,-0.05,0.41,0.409
0.063,5670.0,PUT,4.0,0.2,3.72,-0.28,0.3757,0.3717
0.063,5830.0,PUT,5.05,0.3,4.97,-0.08,0.3414,0.3405
0.063,6000.0,PUT,7.25,0.3,7.21,-0.04,0.31,0.3097
0.063,6145.0,PUT,10.2,0.2,10.46,0.26,0.2839,0.2853
0.063,6245.0,PUT,13.35,0.3,13.87,0.52,0.267,0.2693
0.063,6345.0,PUT,18.05,0.3,18.7,0.65,0.2514,0.2537
0.063,6445.0,PUT,24.55,0.3,25.53,0.98,0.2354,0.2382
0.063,6545.0,PUT,33.9,0.4,35.13,1.23,0.2197,0.2226
0.063,6650.0,PUT,48.15,0.3,49.35,1.2,0.2032,0.2055
0.063,6750.0,PUT,67.9,0.4,68.3,0.4,0.1875,0.1881
0.063,6850.0,PUT,95.3,0.6,94.49,-0.81,0.17,0.1688
0.063,6950.0,CALL,77.95,0.5,75.95,-2.0,0.1495,0.1465
0.063,7050.0,CALL,34.4,0.4,28.46,-5.94,0.132,0.1211
0.063,7150.0,CALL,11.05,0.3,6.41,-4.64,0.1184,0.1026
0.063,7250.0,CALL,2.85,0.2,1.75,-1.1,0.1117,0.1027
0.071,5200.0,PUT,2.12,0.15,2.33,0.2,0.4476,0.4527
0.071,6325.0,PUT,18.5,0.4,21.48,2.98,0.2447,0.2547
0.071,6820.0,PUT,89.4,0.8,92.21,2.81,0.1699,0.1738
0.071,6990.0,CALL,61.5,0.6,59.81,-1.69,0.1385,0.136
0.071,7375.0,CALL,0.77,0.15,1.13,0.36,0.1101,0.1158
0.074,6475.0,PUT,30.8,0.4,34.76,3.96,0.2223,0.2315
0.074,6890.0,CALL,118.5,0.6,121.04,2.54,0.1557,0.1591
0.074,7150.0,CALL,13.85,0.3,8.72,-5.13,0.1166,0.1023
0.076,6300.0,PUT,19.65,0.3,22.55,2.9,0.2477,0.257
0.076,6825.0,PUT,94.9,0.6,97.73,2.83,0.1683,0.1722
0.076,7020.0,CALL,52.65,0.5,48.13,-4.52,0.1348,0.1282
0.079,5600.0,PUT,4.95,0.3,4.99,0.04,0.3643,0.3648
0.079,6725.0,PUT,71.85,0.5,75.64,3.79,0.1848,0.1903
0.079,7020.0,CALL,55.95,0.5,49.54,-6.41,0.1373,0.128
0.082,5550.0,PUT,5.2,0.2,4.87,-0.33,0.3744,0.3706
0.082,6175.0,PUT,16.55,0.3,18.26,1.71,0.2674,0.2738
0.082,6470.0,PUT,36.0,0.4,39.12,3.12,0.2242,0.2309
0.082,6630.0,PUT,56.7,0.4,60.0,3.3,0.2007,0.2061
0.082,6790.0,PUT,90.1,0.6,92.36,2.26,0.1752,0.1783
0.082,6895.0,CALL,124.65,0.7,123.7,-0.95,0.1584,0.1572
0.082,6995.0,CALL,70.5,0.6,63.82,-6.68,0.1432,0.1342
0.082,7125.0,CALL,24.9,0.6,14.94,-9.96,0.1259,0.1055
0.082,7375.0,CALL,1.77,0.15,1.41,-0.37,0.115,0.1111
0.09,6425.0,PUT,33.7,0.4,39.1,5.4,0.2248,0.2363
0.09,6925.0,CALL,110.3,0.6,110.68,0.38,0.1498,0.1503
0.093,6200.0,PUT,20.0,0.4,23.71,3.71,0.2561,0.2676
0.101,5600.0,PUT,7.65,0.3,7.88,0.23,0.3468,0.3485
