T,K,Market,Model,Err,IV_Mkt,IV_Model
0.041,5250.0,1690.11,1703.89,13.78,0.7778,0.5155
0.041,5675.0,1266.36,1272.64,6.28,0.5265,0.4105
0.041,5840.0,1102.29,1106.08,3.79,0.4416,0.3774
0.041,6000.0,943.28,945.06,1.78,0.3671,0.3401
0.041,6150.0,794.56,794.56,0.0,0.3049,0.3049
0.041,6250.0,695.41,694.38,-1.03,0.2662,0.2781
0.041,6345.0,602.06,600.53,-1.53,0.2441,0.2577
0.041,6445.0,505.41,502.2,-3.21,0.2206,0.2415
0.041,6545.0,408.97,406.53,-2.44,0.2065,0.2179
0.041,6640.0,320.91,318.1,-2.81,0.1919,0.2015
0.041,6740.0,232.01,230.79,-1.22,0.1792,0.1823
0.041,6840.0,150.57,151.47,0.91,0.1649,0.1631
0.041,6935.0,85.7,88.01,2.31,0.1508,0.1467
0.041,7035.0,31.5,38.5,7.0,0.1349,0.1207
0.041,7135.0,7.85,11.21,3.36,0.1204,0.1085
0.041,7230.0,1.38,3.0,1.62,0.1173,0.1022
0.049,6075.0,870.95,871.43,0.48,0.3084,0.3026
0.049,6575.0,385.77,384.16,-1.61,0.201,0.2065
0.049,6780.0,205.19,206.55,1.35,0.1735,0.1708
0.049,6950.0,80.35,88.05,7.7,0.1484,0.1359
0.049,7120.0,12.05,18.27,6.22,0.1221,0.1058
0.052,6025.0,921.37,922.37,1.0,0.3226,0.3108
0.052,6525.0,434.49,432.3,-2.19,0.2068,0.2151
0.052,6770.0,216.71,217.2,0.48,0.1747,0.1738
0.052,6930.0,98.02,102.63,4.61,0.1513,0.144
0.052,7100.0,18.1,24.9,6.8,0.1248,0.1098
0.055,5975.0,971.87,973.22,1.36,0.3356,0.3201
0.055,6475.0,483.64,480.88,-2.75,0.2126,0.2239
0.055,6790.0,203.53,204.08,0.55,0.1719,0.1709
0.055,6950.0,87.05,93.43,6.38,0.1483,0.1384
0.055,7125.0,14.55,20.1,5.55,0.1217,0.1084
0.057,6175.0,775.67,774.38,-1.29,0.2688,0.2791
0.057,6650.0,325.99,322.71,-3.28,0.1897,0.1976
0.057,6860.0,154.44,154.45,0.01,0.1616,0.1616
0.057,7025.0,52.0,56.83,4.83,0.1366,0.1289
0.06,5210.0,1733.44,1747.16,13.72,0.6636,0.4713
0.06,5375.0,1569.21,1579.57,10.36,0.579,0.4376
0.06,5540.0,1405.08,1412.39,7.31,0.4995,0.4035
0.06,5700.0,1246.24,1250.73,4.49,0.4281,0.373
0.06,5870.0,1077.57,1079.55,1.98,0.3594,0.3374
0.06,6030.0,919.43,919.33,-0.1,0.3051,0.306
0.06,6160.0,791.52,790.04,-1.48,0.2695,0.2807
0.06,6260.0,693.84,691.22,-2.62,0.246,0.2623
0.06,6360.0,597.17,594.06,-3.1,0.2298,0.2449
0.06,6455.0,506.88,502.96,-3.92,0.2148,0.2296
0.06,6555.0,413.9,410.04,-3.87,0.2022,0.2134
0.06,6650.0,328.52,324.9,-3.62,0.1896,0.1979
0.06,6750.0,243.39,240.84,-2.55,0.1769,0.1816
0.06,6850.0,164.91,164.26,-0.65,0.1631,0.1641
0.06,6945.0,99.5,101.49,1.99,0.1489,0.146
0.06,7045.0,46.6,50.15,3.55,0.1335,0.1277
0.06,7145.0,15.75,18.47,2.72,0.1197,0.1132
0.06,7240.0,4.25,6.23,1.98,0.1148,0.1056
0.068,5200.0,1744.52,1758.32,13.8,0.6286,0.4518
0.068,6325.0,633.58,631.33,-2.25,0.2321,0.2424
0.068,6800.0,207.39,208.95,1.55,0.17,0.1675
0.068,6980.0,82.05,88.6,6.55,0.1436,0.1345
0.068,7350.0,1.3,2.7,1.4,0.1162,0.1033
0.071,6425.0,539.68,537.32,-2.36,0.2177,0.2257
0.071,6870.0,157.56,160.05,2.5,0.1598,0.1563
0.071,7050.0,50.05,55.99,5.94,0.1329,0.1241
0.074,5800.0,1149.89,1152.54,2.66,0.357,0.3322
0.074,6675.0,315.44,314.03,-1.41,0.1857,0.1883
0.074,6960.0,99.4,104.41,5.01,0.1465,0.1398
0.074,7325.0,2.53,4.06,1.53,0.1144,0.1048
0.077,6575.0,405.64,402.97,-2.67,0.1983,0.2042
0.077,6950.0,109.05,112.54,3.49,0.148,0.1434
0.077,7300.0,4.0,5.62,1.62,0.1137,0.106
0.079,5950.0,1003.71,1003.44,-0.27,0.3024,0.3043
0.079,6390.0,578.06,574.49,-3.57,0.2213,0.2326
0.079,6550.0,430.73,426.97,-3.76,0.201,0.2094
0.079,6720.0,283.13,280.88,-2.25,0.1797,0.1833
0.079,6835.0,192.12,192.03,-0.09,0.1647,0.1648
0.079,6935.0,122.65,123.91,1.26,0.1501,0.1485
0.079,7035.0,66.4,68.62,2.22,0.1353,0.1323
0.079,7180.0,18.5,19.73,1.23,0.1172,0.1146
0.088,5500.0,1450.02,1456.94,6.92,0.4369,0.3729
0.088,6600.0,389.55,388.55,-1.0,0.1945,0.1964
0.088,7075.0,51.55,56.27,4.72,0.1297,0.1233
0.09,6825.0,206.78,208.41,1.63,0.1658,0.1637
0.099,5900.0,1058.47,1058.28,-0.18,0.2979,0.299
0.099,6375.0,602.2,598.63,-3.57,0.2206,0.2298
0.099,6590.0,407.59,404.69,-2.9,0.195,0.2
0.099,6760.0,265.36,264.04,-1.32,0.174,0.1757
0.099,6920.0,148.1,148.66,0.56,0.1523,0.1516
0.099,7080.0,59.75,61.04,1.29,0.1295,0.1279
0.099,7350.0,5.45,6.48,1.03,0.1135,0.1094
0.107,6475.0,513.28,511.47,-1.81,0.2079,0.2115
0.107,6975.0,115.3,120.51,5.21,0.1445,0.1387
0.118,5325.0,1629.52,1638.44,8.92,0.4432,0.3784
0.118,5670.0,1289.33,1291.86,2.53,0.339,0.3241
0.118,5830.0,1132.87,1132.78,-0.09,0.3014,0.3018
0.118,5990.0,977.22,975.34,-1.88,0.271,0.2785
0.118,6160.0,814.06,810.69,-3.37,0.2453,0.2556
0.118,6300.0,682.08,678.06,-4.02,0.2275,0.2371
0.118,6395.0,594.29,590.21,-4.08,0.2164,0.2248
0.118,6495.0,503.13,499.93,-3.19,0.2048,0.2103
0.118,6595.0,416.51,412.83,-3.68,0.1934,0.1988
0.118,6690.0,335.43,333.54,-1.89,0.182,0.1845
0.118,6790.0,256.76,254.94,-1.82,0.1696,0.1717
0.118,6890.0,182.2,182.75,0.55,0.1565,0.1559
0.118,6985.0,122.75,122.17,-0.58,0.1433,0.1439
0.118,7085.0,71.5,70.38,-1.12,0.1298,0.1311
0.118,7185.0,35.7,34.73,-0.97,0.1187,0.1201
0.118,7320.0,11.9,12.12,0.22,0.113,0.1124
0.118,7480.0,3.35,4.5,1.15,0.1194,0.1133
0.137,5550.0,1411.93,1415.44,3.51,0.3529,0.3341
0.137,6250.0,737.17,733.54,-3.64,0.2315,0.2396
0.137,6640.0,389.35,386.91,-2.44,0.1873,0.1903
0.137,6820.0,246.26,245.54,-0.72,0.1655,0.1662
0.137,6975.0,141.65,140.67,-0.98,0.1452,0.1461
0.137,7140.0,60.4,58.26,-2.14,0.1244,0.1268
0.148,5210.0,1748.29,1758.58,10.29,0.4384,0.3763
0.148,5400.0,1561.08,1567.43,6.35,0.3827,0.3479
0.148,5560.0,1404.01,1407.52,3.51,0.3423,0.3251
0.148,5685.0,1281.74,1283.44,1.7,0.3151,0.3077
0.148,5785.0,1184.39,1184.73,0.35,0.2956,0.2942
0.148,5910.0,1066.42,1062.49,-3.93,0.2749,0.2875
0.148,6070.0,910.25,908.1,-2.14,0.2523,0.258
0.148,6200.0,787.51,784.9,-2.61,0.2361,0.2419
0.148,6300.0,694.85,691.95,-2.9,0.2246,0.2302
0.148,6395.0,608.17,605.46,-2.72,0.2141,0.2186
0.148,6495.0,519.02,516.74,-2.29,0.2031,0.2064
0.148,6595.0,432.62,430.91,-1.7,0.1919,0.1941
0.148,6690.0,353.59,352.75,-0.83,0.181,0.182
0.148,6790.0,274.63,274.83,0.19,0.169,0.1688
0.148,6890.0,202.18,202.82,0.64,0.1565,0.1559
0.148,6985.0,140.9,141.5,0.6,0.1442,0.1436
0.148,7085.0,87.3,87.56,0.26,0.1315,0.1312
0.148,7185.0,48.85,47.91,-0.94,0.1207,0.1218
0.148,7280.0,25.65,25.12,-0.53,0.1146,0.1155
0.148,7380.0,12.15,12.85,0.7,0.1132,0.1116
0.148,7480.0,5.8,7.3,1.5,0.1163,0.111
0.148,7620.0,2.27,4.51,2.23,0.1275,0.1141
0.194,5250.0,1721.64,1729.76,8.12,0.386,0.3506
0.194,5725.0,1259.55,1260.03,0.48,0.2922,0.2907
0.194,5880.0,1110.71,1109.95,-0.76,0.27,0.2719
0.194,6050.0,950.03,948.05,-1.98,0.249,0.253
0.194,6220.0,792.15,789.82,-2.32,0.2302,0.2339
0.194,6375.0,651.86,649.79,-2.07,0.2139,0.2166
0.194,6480.0,558.91,557.89,-1.02,0.203,0.2042
0.194,6575.0,478.29,477.19,-1.11,0.1929,0.1941
0.194,6675.0,395.06,395.42,0.36,0.1821,0.1818
0.194,6775.0,317.82,317.53,-0.3,0.171,0.1712
0.194,6870.0,247.3,248.16,0.85,0.16,0.1593
0.194,6970.0,182.45,181.36,-1.09,0.1482,0.1491
0.194,7070.0,125.15,123.16,-1.99,0.1365,0.1382
0.194,7170.0,80.35,76.49,-3.86,0.1259,0.1294
0.194,7330.0,32.65,30.92,-1.73,0.1153,0.1176
0.194,7500.0,11.1,12.36,1.26,0.1153,0.1125
0.23,5300.0,1683.67,1690.23,6.57,0.3565,0.3337
0.23,5570.0,1421.9,1424.25,2.35,0.308,0.3014
0.23,5820.0,1182.51,1182.24,-0.27,0.2727,0.2733
0.23,6010.0,1003.67,1002.14,-1.53,0.2504,0.2531
0.23,6180.0,846.76,844.72,-2.04,0.2323,0.2353
0.23,6360.0,685.18,683.06,-2.12,0.2141,0.2166
0.23,6470.0,589.41,587.48,-1.93,0.2031,0.2051
0.23,6575.0,500.55,499.07,-1.48,0.1924,0.1938
0.23,6680.0,415.24,414.02,-1.22,0.1816,0.1826
0.23,6780.0,338.18,336.83,-1.35,0.1709,0.172
0.23,6890.0,259.36,257.38,-1.98,0.1589,0.1605
0.23,6990.0,194.75,191.57,-3.18,0.1479,0.1503
0.23,7100.0,132.85,128.67,-4.18,0.1359,0.1392
0.23,7235.0,75.1,69.87,-5.23,0.1233,0.128
0.23,7350.0,42.15,38.51,-3.64,0.1167,0.1208
0.23,7470.0,21.6,20.9,-0.7,0.1149,0.116
0.23,7650.0,7.7,10.11,2.41,0.1205,0.1139
0.271,5325.0,1670.45,1676.38,5.93,0.3378,0.3212
0.271,5800.0,1216.52,1216.38,-0.14,0.2704,0.2706
0.271,5970.0,1057.91,1056.39,-1.52,0.2515,0.2539
0.271,6125.0,915.5,913.47,-2.02,0.2357,0.2383
0.271,6290.0,767.24,765.21,-2.03,0.2195,0.2218
0.271,6460.0,619.72,617.73,-2.0,0.2032,0.2051
0.271,6585.0,515.57,513.62,-1.94,0.1911,0.1927
0.271,6690.0,432.01,429.71,-2.3,0.1807,0.1825
0.271,6795.0,351.85,349.79,-2.06,0.1701,0.1717
0.271,6900.0,277.44,274.85,-2.59,0.1594,0.1612
0.271,7005.0,211.1,206.31,-4.79,0.1485,0.1518
0.271,7120.0,147.2,140.88,-6.32,0.1369,0.1414
0.271,7275.0,81.4,74.24,-7.16,0.1238,0.1296
