T,K,Type,Market,Spread,Model,Err,IV_Mkt,IV_Model
0.041,6565.0,PUT,19.7,0.4,11.74,-7.96,0.2273,0.1964
0.041,6665.0,PUT,29.0,0.4,18.48,-10.52,0.2068,0.1762
0.041,6765.0,PUT,44.55,0.3,33.18,-11.37,0.1877,0.1625
0.041,6865.0,PUT,71.0,0.4,60.44,-10.56,0.1714,0.1519
0.041,6960.0,CALL,65.2,0.4,61.13,-4.07,0.1505,0.1431
0.041,7060.0,CALL,20.6,0.6,25.68,5.08,0.1233,0.1355
0.041,7160.0,CALL,4.9,0.2,9.23,4.33,0.1139,0.1334
0.041,7265.0,CALL,0.82,0.15,4.85,4.03,0.1107,0.1496
0.049,6600.0,PUT,24.95,0.3,17.35,-7.6,0.2089,0.186
0.049,6800.0,PUT,55.45,0.5,47.86,-7.59,0.1729,0.1588
0.049,6970.0,CALL,63.0,0.4,65.11,2.11,0.1391,0.1426
0.049,7125.0,CALL,10.25,0.3,17.55,7.3,0.1116,0.1326
0.052,6050.0,PUT,4.9,0.2,20.18,15.28,0.3089,0.4094
0.052,6550.0,PUT,22.65,0.5,15.51,-7.14,0.2184,0.1952
0.052,6780.0,PUT,54.65,0.5,45.08,-9.57,0.1788,0.161
0.052,6940.0,CALL,83.6,0.8,82.47,-1.13,0.1472,0.1454
0.052,7110.0,CALL,14.8,0.4,21.88,7.08,0.1156,0.1331
0.055,6000.0,PUT,4.9,0.2,22.45,17.55,0.3169,0.4291
0.055,6500.0,PUT,20.0,0.4,14.44,-5.56,0.225,0.2056
0.055,6800.0,PUT,61.65,0.5,52.15,-9.5,0.1755,0.159
0.055,6960.0,CALL,75.3,0.6,75.22,-0.08,0.1439,0.1438
0.055,7150.0,CALL,9.4,0.4,16.39,6.99,0.1115,0.1319
0.057,6200.0,PUT,9.2,0.4,15.58,6.38,0.2798,0.3138
0.057,6690.0,PUT,44.95,0.5,31.8,-13.15,0.1989,0.1716
0.057,6870.0,PUT,84.7,0.6,76.07,-8.63,0.1655,0.1521
0.057,7030.0,CALL,45.7,0.6,48.2,2.5,0.134,0.1382
0.06,5200.0,PUT,1.62,0.15,78.82,77.2,0.4758,0.9687
0.06,5370.0,PUT,2.1,0.2,63.3,61.2,0.4412,0.8317
0.06,5525.0,PUT,2.72,0.15,50.89,48.16,0.4108,0.7158
0.06,5690.0,PUT,3.6,0.2,39.44,35.84,0.3779,0.6013
0.06,5860.0,PUT,4.85,0.1,29.51,24.66,0.3438,0.4928
0.06,6025.0,PUT,6.75,0.3,21.74,14.99,0.3118,0.3972
0.06,6155.0,PUT,9.15,0.3,17.12,7.97,0.2878,0.3296
0.06,6255.0,PUT,11.75,0.3,14.73,2.98,0.2695,0.2837
0.06,6355.0,PUT,15.65,0.3,13.76,-1.89,0.2526,0.2448
