T,K,Market,Model,Err,IV_Mkt
0.041,5250.0,1701.59,1715.8,14.21,0.5182
0.041,5675.0,1277.84,1284.52,6.68,0.4134
0.041,5840.0,1113.74,1118.31,4.57,0.3799
0.041,6000.0,954.73,957.82,3.08,0.3429
0.041,6150.0,806.04,807.8,1.76,0.3083
0.041,6245.0,711.78,712.38,0.6,0.2823
0.041,6345.0,613.33,614.01,0.67,0.2598
0.041,6440.0,520.88,520.0,-0.88,0.2415
0.041,6540.0,425.98,423.97,-2.01,0.227
0.041,6635.0,336.38,333.92,-2.46,0.2055
0.041,6735.0,249.13,244.53,-4.6,0.1925
0.041,6830.0,168.63,165.46,-3.17,0.1698
0.041,6930.0,97.08,93.82,-3.26,0.1514
0.041,7030.0,37.15,39.57,2.42,0.1217
0.041,7125.0,8.35,10.67,2.32,0.1014
0.041,7225.0,1.55,2.55,1.0,0.0992
0.049,6050.0,906.68,908.87,2.19,0.3102
0.049,6550.0,419.7,419.33,-0.37,0.2135
0.049,6775.0,219.71,218.49,-1.23,0.1761
0.049,6940.0,87.9,96.07,8.17,0.1308
0.049,7100.0,16.9,20.56,3.66,0.1052
0.052,6050.0,907.35,909.29,1.95,0.3083
0.052,6525.0,444.91,444.12,-0.8,0.2178
0.052,6775.0,222.4,220.88,-1.52,0.1764
0.052,6940.0,91.15,98.65,7.5,0.1322
0.052,7100.0,18.95,22.14,3.19,0.1069
0.055,6000.0,957.31,960.05,2.73,0.3158
0.055,6475.0,493.78,492.43,-1.35,0.2266
0.055,6790.0,213.07,210.96,-2.11,0.1747
0.055,6950.0,88.85,94.9,6.05,0.1331
0.055,7125.0,15.05,17.16,2.11,0.1054
0.057,6175.0,785.51,786.25,0.74,0.2814
0.057,6675.0,313.48,309.67,-3.81,0.1965
0.057,6860.0,163.22,158.57,-4.66,0.1656
0.057,7025.0,52.95,55.53,2.58,0.1246
0.06,5220.0,1732.84,1746.54,13.71,0.4713
0.06,5380.0,1573.57,1584.1,10.53,0.4382
0.06,5550.0,1404.5,1412.04,7.54,0.4038
0.06,5710.0,1245.56,1250.6,5.04,0.3715
0.06,5875.0,1081.98,1084.87,2.89,0.3388
0.06,6030.0,928.78,930.21,1.43,0.3084
0.06,6165.0,795.93,796.42,0.5,0.282
0.06,6260.0,703.14,702.32,-0.83,0.2647
0.06,6360.0,606.46,605.39,-1.07,0.2475
0.06,6455.0,515.93,513.63,-2.3,0.2315
0.06,6555.0,422.8,420.24,-2.56,0.2155
0.06,6650.0,337.46,333.59,-3.87,0.2007
0.06,6750.0,252.04,247.79,-4.25,0.1846
0.06,6850.0,172.91,168.34,-4.57,0.1672
0.06,6945.0,101.45,102.53,1.08,0.1418
0.06,7045.0,47.85,48.0,0.15,0.1247
0.06,7140.0,17.15,16.32,-0.83,0.111
0.06,7240.0,4.3,4.79,0.49,0.1031
0.06,7360.0,0.95,1.36,0.41,0.1056
0.068,6325.0,640.6,640.5,-0.11,0.2433
0.068,6800.0,213.71,213.0,-0.71,0.1695
0.068,6980.0,83.65,87.43,3.78,0.1321
0.068,7325.0,1.77,2.38,0.61,0.1011
0.071,6425.0,545.95,545.39,-0.56,0.2271
0.071,6850.0,177.18,176.2,-0.98,0.1611
0.071,7040.0,55.45,57.2,1.75,0.1238
0.074,5900.0,1056.56,1058.78,2.22,0.3149
0.074,6675.0,320.29,318.78,-1.51,0.1892
0.074,6960.0,101.1,102.76,1.66,0.1385
0.074,7325.0,2.58,2.87,0.3,0.1038
0.077,6600.0,387.31,385.96,-1.35,0.2008
0.077,6950.0,110.3,110.53,0.23,0.142
0.077,7325.0,3.08,3.12,0.05,0.1054
0.079,5975.0,982.45,983.68,1.23,0.3
0.079,6400.0,571.9,570.41,-1.49,0.2316
0.079,6560.0,424.57,422.51,-2.07,0.2077
0.079,6725.0,281.56,279.06,-2.5,0.1826
0.079,6845.0,186.87,184.68,-2.19,0.1632
0.079,6940.0,121.15,118.36,-2.79,0.1475
0.079,7040.0,65.15,61.61,-3.54,0.1313
0.079,7190.0,17.05,13.81,-3.24,0.1135
0.088,5700.0,1255.41,1259.66,4.25,0.3375
0.088,6625.0,370.62,370.68,0.06,0.1931
0.088,7125.0,34.6,32.3,-2.3,0.1169
0.09,7175.0,23.35,20.53,-2.82,0.1133
0.099,5950.0,1012.98,1013.63,0.65,0.2916
0.099,6425.0,559.07,557.54,-1.52,0.2231
0.099,6610.0,393.04,391.46,-1.59,0.1973
0.099,6770.0,259.98,258.05,-1.93,0.1744
0.099,6930.0,143.31,140.42,-2.89,0.1499
0.099,7100.0,52.75,47.58,-5.17,0.1253
0.099,7375.0,4.45,3.91,-0.54,0.1094
0.107,6550.0,449.23,449.19,-0.05,0.2018
